pz,px,py,ledID,cubeID,stripID
-24.000000000000018,24.0,-132.39969999999997,13,14,10
-24.000000000000018,24.0,-129.19969999999995,14,14,10
-24.000000000000018,24.0,-173.99969999999996,0,14,11
-20.800000000000015,24.0,-173.99969999999996,1,14,11
-17.60000000000002,24.0,-173.99969999999996,2,14,11
-14.40000000000002,24.000000000000004,-173.99969999999996,3,14,11
-11.200000000000015,24.0,-173.99969999999996,4,14,11
-8.000000000000018,24.0,-173.99969999999996,5,14,11
-4.800000000000016,24.0,-173.99969999999996,6,14,11
-1.6000000000000199,24.0,-173.99969999999996,7,14,11
1.599999999999983,24.0,-173.99969999999996,8,14,11
4.7999999999999785,24.0,-173.99969999999996,9,14,11
7.999999999999981,24.0,-173.99969999999996,10,14,11
11.19999999999998,24.0,-173.99969999999996,11,14,11
14.399999999999984,24.000000000000004,-173.99969999999996,12,14,11
17.599999999999984,24.0,-173.99969999999996,13,14,11
20.79999999999998,24.0,-173.99969999999996,14,14,11
23.99999999999998,24.0,-155.99963999999994,0,15,0
23.99999999999998,20.799999999999997,-155.99963999999994,1,15,0
23.99999999999998,17.6,-155.99963999999994,2,15,0
23.999999999999982,14.400000000000002,-155.99963999999994,3,15,0
23.99999999999998,11.199999999999998,-155.99963999999994,4,15,0
23.99999999999998,8.0,-155.99963999999994,5,15,0
23.99999999999998,4.799999999999997,-155.99963999999994,6,15,0
23.99999999999998,1.6000000000000014,-155.99963999999994,7,15,0
23.99999999999998,-1.6000000000000014,-155.99963999999994,8,15,0
23.99999999999998,-4.799999999999997,-155.99963999999994,9,15,0
23.99999999999998,-8.0,-155.99963999999994,10,15,0
23.99999999999998,-11.199999999999998,-155.99963999999994,11,15,0
23.999999999999982,-14.400000000000002,-155.99963999999994,12,15,0
23.99999999999998,-17.6,-155.99963999999994,13,15,0
23.99999999999998,-20.799999999999997,-155.99963999999994,14,15,0
23.99999999999998,24.0,-155.99963999999994,0,15,1
23.99999999999998,24.0,-159.19963999999993,1,15,1
23.99999999999998,24.0,-162.39963999999995,2,15,1
23.999999999999982,24.000000000000004,-165.59963999999994,3,15,1
23.99999999999998,24.0,-168.79963999999995,4,15,1
23.99999999999998,24.0,-171.99963999999994,5,15,1
23.99999999999998,24.0,-175.19963999999993,6,15,1
23.99999999999998,24.0,-178.39963999999995,7,15,1
23.99999999999998,24.0,-181.59963999999994,8,15,1
23.99999999999998,24.0,-184.79963999999995,9,15,1
23.99999999999998,24.0,-187.99963999999994,10,15,1
23.99999999999998,24.0,-191.19963999999993,11,15,1
23.999999999999982,24.000000000000004,-194.39963999999995,12,15,1
23.99999999999998,24.0,-197.59963999999994,13,15,1
23.99999999999998,24.0,-200.79963999999995,14,15,1
23.99999999999998,24.0,-155.99963999999994,0,15,2
20.799999999999976,24.0,-155.99963999999994,1,15,2
17.59999999999998,24.0,-155.99963999999994,2,15,2
14.39999999999998,24.000000000000004,-155.99963999999994,3,15,2
11.199999999999976,24.0,-155.99963999999994,4,15,2
7.999999999999978,24.0,-155.99963999999994,5,15,2
4.799999999999975,24.0,-155.99963999999994,6,15,2
1.5999999999999794,24.0,-155.99963999999994,7,15,2
-1.6000000000000234,24.0,-155.99963999999994,8,15,2
-4.800000000000019,24.0,-155.99963999999994,9,15,2
-8.000000000000021,24.0,-155.99963999999994,10,15,2
-11.200000000000019,24.0,-155.99963999999994,11,15,2
-14.400000000000023,24.000000000000004,-155.99963999999994,12,15,2
-17.600000000000023,24.0,-155.99963999999994,13,15,2
-20.80000000000002,24.0,-155.99963999999994,14,15,2
-24.00000000000002,-24.0,-155.99963999999994,0,15,3
-24.00000000000002,-20.799999999999997,-155.99963999999994,1,15,3
-24.00000000000002,-17.6,-155.99963999999994,2,15,3
-24.000000000000025,-14.400000000000002,-155.99963999999994,3,15,3
-24.00000000000002,-11.199999999999998,-155.99963999999994,4,15,3
-24.00000000000002,-8.0,-155.99963999999994,5,15,3
-24.00000000000002,-4.799999999999997,-155.99963999999994,6,15,3
-24.00000000000002,-1.6000000000000014,-155.99963999999994,7,15,3
-24.00000000000002,1.6000000000000014,-155.99963999999994,8,15,3
-24.00000000000002,4.799999999999997,-155.99963999999994,9,15,3
-24.00000000000002,8.0,-155.99963999999994,10,15,3
-24.00000000000002,11.199999999999998,-155.99963999999994,11,15,3
-24.000000000000025,14.400000000000002,-155.99963999999994,12,15,3
-24.00000000000002,17.6,-155.99963999999994,13,15,3
-24.00000000000002,20.799999999999997,-155.99963999999994,14,15,3
-24.00000000000002,-24.0,-155.99963999999994,0,15,4
-24.00000000000002,-24.0,-159.19963999999993,1,15,4
-24.00000000000002,-24.0,-162.39963999999995,2,15,4
-24.000000000000025,-24.000000000000004,-165.59963999999994,3,15,4
-24.00000000000002,-24.0,-168.79963999999995,4,15,4
-24.00000000000002,-24.0,-171.99963999999994,5,15,4
-24.00000000000002,-24.0,-175.19963999999993,6,15,4
-24.00000000000002,-24.0,-178.39963999999995,7,15,4
-24.00000000000002,-24.0,-181.59963999999994,8,15,4
-24.00000000000002,-24.0,-184.79963999999995,9,15,4
-24.00000000000002,-24.0,-187.99963999999994,10,15,4
-24.00000000000002,-24.0,-191.19963999999993,11,15,4
-24.000000000000025,-24.000000000000004,-194.39963999999995,12,15,4
-24.00000000000002,-24.0,-197.59963999999994,13,15,4
-24.00000000000002,-24.0,-200.79963999999995,14,15,4
-24.00000000000002,-24.0,-155.99963999999994,0,15,5
-20.80000000000002,-24.0,-155.99963999999994,1,15,5
-17.600000000000023,-24.0,-155.99963999999994,2,15,5
-14.400000000000023,-24.000000000000004,-155.99963999999994,3,15,5
-11.200000000000019,-24.0,-155.99963999999994,4,15,5
-8.000000000000021,-24.0,-155.99963999999994,5,15,5
-4.800000000000019,-24.0,-155.99963999999994,6,15,5
-1.6000000000000234,-24.0,-155.99963999999994,7,15,5
1.5999999999999794,-24.0,-155.99963999999994,8,15,5
4.799999999999975,-24.0,-155.99963999999994,9,15,5
7.999999999999978,-24.0,-155.99963999999994,10,15,5
11.199999999999976,-24.0,-155.99963999999994,11,15,5
14.39999999999998,-24.000000000000004,-155.99963999999994,12,15,5
17.59999999999998,-24.0,-155.99963999999994,13,15,5
20.799999999999976,-24.0,-155.99963999999994,14,15,5
23.99999999999998,-24.0,-203.99963999999994,0,15,6
23.99999999999998,-20.799999999999997,-203.99963999999994,1,15,6
